DF_Activated,PropertyName,PropertyName
Activated,Central Park,172
Activated,Flushing Meadows Corona Park,129
Activated,Prospect Park,72
Activated,Forest Park,56
Activated,Pelham Bay Park,51
Activated,Coney Island Beach & Boardwalk,44
Activated,Riverside Park,41
Activated,Cunningham Park,36
Activated,Van Cortlandt Park,36
Activated,Franklin D. Roosevelt Boardwalk and Beach,35
Activated,John V. Lindsay East River Park,34
Activated,Randall's Island Park,32
Activated,Rockaway Beach Boardwalk,29
Activated,Marine Park,27
Activated,Parade Ground,25
Activated,Bronx Park,24
Activated,McCarren Park,23
Activated,Dyker Beach Park,21
Activated,Sara D. Roosevelt Park,19
Activated,Baisley Pond Park,18
Activated,Highbridge Park,18
Activated,Astoria Park,17
Activated,Juniper Valley Park,17
Activated,Alley Pond Park,16
Activated,Crotona Park,16
Activated,Red Hook Recreation Area,15
Activated,St. John's Park,15
Activated,Detective Keith L Williams Park,14
Activated,Kissena Corridor Park,14
Activated,Kissena Park,14
Activated,Lincoln Terrace / Arthur S. Somers Park,14
Activated,Manhattan Beach Park,14
Activated,The Battery,14
Activated,Clove Lakes Park,13
Activated,Inwood Hill Park,13
Activated,Marcus Garvey Park,13
Activated,Silver Lake Park,13
Activated,Thomas Jefferson Park,13
Activated,Washington Square Park,13
Activated,Arsenal West,12
Activated,Bronx River Parkway,12
Activated,Bushwick Playground,12
Activated,Canarsie Park,12
Activated,Fort Totten Park,12
Activated,Jackie Robinson Park,12
Activated,Mullaly Park,12
Activated,Soundview Park,12
Activated,Tompkins Square Park,12
Activated,Wards Island Park,12
Activated,Carl Schurz Park,11
Activated,Fort Tryon Park,11
Activated,Haffen Park,11
Activated,Highland Park,11
Activated,Roy Wilkins Recreation Center,11
Activated,Williamsbridge Oval,11
Activated,Brownsville Playground,10
Activated,Gravesend Park,10
Activated,McGuire Fields,10
Activated,Morningside Park,10
Activated,Rockaway Beach and Boardwalk,10
Activated,Shore Park and Parkway,10
Activated,St. Mary's Park,10
Activated,Bayswater Park,9
Activated,Beach 17 Playground,9
