PropertyName,Outdoor_or_not,filter_or_not
Bensonhurst Park,outdoor,installed
Bensonhurst Park,outdoor,installed
Bensonhurst Park,outdoor,installed
Betsy Head Park,outdoor,installed
Brower Park,outdoor,installed
Maria Hernandez Park,outdoor,installed
Maria Hernandez Park,outdoor,installed
Commodore Barry Park,outdoor,installed
Commodore Barry Park,outdoor,installed
Commodore Barry Park,indoor,installed
Commodore Barry Park,indoor,installed
Dyker Beach Park,outdoor,installed
Dyker Beach Park,outdoor,installed
Fort Greene Park,outdoor,installed
Gravesend Park,outdoor,installed
Van Voorhees Playground,outdoor,installed
Leif Ericson Park,outdoor,installed
Leif Ericson Park,outdoor,installed
Marine Park,outdoor,installed
Marine Park,outdoor,installed
McCarren Park,indoor,installed
Milestone Park,outdoor,installed
Owl's Head Park,outdoor,installed
Parade Ground,outdoor,installed
Parade Ground,outdoor,installed
Prospect Park,outdoor,installed
Prospect Park,outdoor,installed
Prospect Park,outdoor,installed
Prospect Park,indoor,installed
Asser Levy Park,outdoor,installed
Sunset Park,outdoor,installed
Herbert Von King Park,outdoor,installed
Herbert Von King Park,outdoor,installed
Washington Park,outdoor,installed
William Sheridan Playground,outdoor,installed
Red Hook Recreation Area,outdoor,installed
Red Hook Recreation Area,outdoor,installed
Red Hook Recreation Area,outdoor,installed
Red Hook Recreation Area,outdoor,installed
Red Hook Recreation Area,outdoor,installed
Gilbert Ramirez Park,outdoor,installed
Sixteen Sycamores Playground,outdoor,installed
Heckscher Playground,outdoor,installed
Heckscher Playground,outdoor,installed
Bedford Playground,outdoor,installed
Thomas Greene Playground,outdoor,installed
Monsignor Crawford Field,outdoor,installed
Rolph Henry Playground,outdoor,installed
Kelly Park Playground,outdoor,installed
Brizzi Playground,outdoor,installed
Bath Beach Park,outdoor,installed
Coney Island Boat Basin,outdoor,installed
McGuire Fields,outdoor,installed
Coney Island Beach & Boardwalk,indoor,installed
Gonzalo Plasencia Playground,outdoor,installed
Pena Herrera Playground,outdoor,installed
John J Carty Park,outdoor,installed
Pierrepont Playground,outdoor,installed
Pierrepont Playground,outdoor,installed
Rodney Park North,outdoor,installed
Rodney Playground South,outdoor,installed
Rodney Playground North,outdoor,installed
P.O. Reinaldo Salgado Playground,outdoor,installed
Dean Playground,outdoor,installed
Dean Playground,outdoor,installed
Tilden Playground,outdoor,installed
Sheepshead Playground,outdoor,installed
Sheepshead Playground,outdoor,installed
St. John's Park,indoor,installed
Nostrand Playground,outdoor,installed
Manhattan Beach Park,outdoor,installed
West Playground,outdoor,installed
Thomas J. Cuite Park,outdoor,installed
Howard Pool,indoor,installed
Howard Pool,outdoor,installed
Sumner Playground,outdoor,installed
Brownsville Playground,indoor,installed
Railroad Playground,outdoor,installed
Bayview Playground,outdoor,installed
Benson Playground,outdoor,installed
Belmont Playground,outdoor,installed
Andries Playground,outdoor,installed
Andries Playground,outdoor,installed
Slope Park Playground,outdoor,installed
Slope Park Playground,outdoor,installed
Albemarle Playground,outdoor,installed
Kennedy King Playground,outdoor,installed
Kennedy King Playground,outdoor,installed
Bushwick Playground,indoor,installed
Bushwick Playground,indoor,installed
Bushwick Playground,outdoor,installed
Lindower Park,outdoor,installed
Fermi Playground,outdoor,installed
Fermi Playground,outdoor,installed
Osborn Playground,outdoor,installed
Ethan Allen Playground,outdoor,installed
Friends Field,outdoor,installed
Robert E. Venable Park,outdoor,installed
Hendrick I. Lott House,outdoor,installed
The Battery,outdoor,installed
Central Park,outdoor,installed
Central Park,outdoor,installed
Central Park,outdoor,installed
Central Park,outdoor,installed
Jackie Robinson Park,outdoor,installed
Jackie Robinson Park,outdoor,installed
De Witt Clinton Park,outdoor,installed
Highbridge Park,outdoor,installed
Highbridge Park,outdoor,installed
Highbridge Park,outdoor,installed
Highbridge Park,outdoor,installed
John Jay Park,outdoor,installed
Morningside Park,outdoor,installed
Morningside Park,outdoor,installed
Marcus Garvey Park,outdoor,installed
J. Hood Wright Park,outdoor,installed
Riverside Park,outdoor,installed
Riverside Park,outdoor,installed
St. Nicholas Park,outdoor,installed
St. Nicholas Park,outdoor,installed
St. Nicholas Park,outdoor,installed
Tompkins Square Park,outdoor,installed
J. Hood Wright Park,outdoor,installed
Sara D. Roosevelt Park,outdoor,installed
Sara D. Roosevelt Park,outdoor,installed
Sara D. Roosevelt Park,outdoor,installed
Sara D. Roosevelt Park,outdoor,installed
Wards Island Park,outdoor,installed
Wards Island Park,outdoor,installed
Wards Island Park,outdoor,installed
Playground 103 CIII,outdoor,installed
East River Walk,outdoor,installed
Playground of the Americas,outdoor,installed
John V. Lindsay East River Park,outdoor,installed
White Playground,outdoor,installed
McCaffrey Playground,outdoor,installed
McCaffrey Playground,outdoor,installed
McCaffrey Playground,indoor,installed
Lt. Wm. Tighe Triangle,outdoor,installed
Col. Young Playground,outdoor,installed
Wayanda Park,outdoor,installed
Eugene McCabe Field,outdoor,installed
Dry Dock Playground,outdoor,installed
Dry Dock Playground,outdoor,installed
Wagner Houses Pool,outdoor,installed
Washington Market Park,outdoor,installed
Astoria Park,outdoor,installed
Astoria Park,outdoor,installed
Baisley Pond Park,outdoor,installed
Baisley Pond Park,outdoor,installed
Bayswater Park,outdoor,installed
Bayswater Park,outdoor,installed
Brookville Park,outdoor,installed
John Golden Park,outdoor,installed
Crocheron Park,outdoor,installed
Crocheron Park,outdoor,installed
Forest Park,outdoor,installed
Forest Park,outdoor,installed
Forest Park,outdoor,installed
Forest Park,outdoor,installed
Forest Park,outdoor,installed
Forest Park,indoor,installed
Forest Park,indoor,installed
Forest Park,indoor,installed
The Olde Towne of Flushing Burial Ground,outdoor,installed
Cunningham Park,outdoor,installed
Cunningham Park,outdoor,installed
Cunningham Park,outdoor,installed
Cunningham Park,outdoor,installed
Kissena Park,outdoor,installed
Kissena Park,outdoor,installed
Park Of The Americas,outdoor,installed
Josephine Caminiti Playground,outdoor,installed
John Vincent Daniels Jr. Square,outdoor,installed
General Hart Playground,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Tudor Park,outdoor,installed
Southern Fields,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Flushing Meadows Corona Park,outdoor,installed
Frederick B. Judge Playground,outdoor,installed
Detective Keith L Williams Park,outdoor,installed
Detective Keith L Williams Park,outdoor,installed
"Phil ""Scooter"" Rizzuto Park",outdoor,installed
Murray Playground,outdoor,installed
Beach 59th St Playground,outdoor,installed
Rockaway Beach and Boardwalk,outdoor,installed
MacDonald Park,outdoor,installed
Farm Playground,outdoor,installed
Utopia Playground,outdoor,installed
Kissena Corridor Park,outdoor,installed
Kissena Corridor Park,outdoor,installed
Kissena Corridor Park,outdoor,installed
Travers Park,outdoor,installed
Glen Oaks Oval,outdoor,installed
Arverne Playground,outdoor,installed
Vleigh Playground,outdoor,installed
Bland Playground,outdoor,installed
Woodtree Playground,outdoor,installed
Ravenswood Playground,outdoor,installed
Ravenswood Playground,outdoor,installed
Playground Twenty One,outdoor,installed
Judge Moses Weinstein Playground,outdoor,installed
Redfern Playground,outdoor,installed
Peters Field,outdoor,installed
Peters Field,outdoor,installed
Whitefish Triangle,outdoor,installed
Marie Curie Playground,outdoor,installed
Clintonville Playground,outdoor,installed
Idlewild Park,outdoor,installed
Idlewild Park,outdoor,installed
Oakland Gardens,outdoor,installed
Latimer Playground,outdoor,installed
Harold Schneiderman Playground,outdoor,installed
Harold Schneiderman Playground,outdoor,installed
Rochdale Park,outdoor,installed
Roy Wilkins Recreation Center,outdoor,installed
Roy Wilkins Recreation Center,outdoor,installed
Roy Wilkins Recreation Center,outdoor,installed
Roy Wilkins Recreation Center,outdoor,installed
Corona Golf Playground,outdoor,installed
Fort Totten Park,outdoor,installed
Socrates Sculpture Park,outdoor,installed
College Point Fields,outdoor,installed
College Point Fields,outdoor,installed
College Point Fields,outdoor,installed
Hero Park,outdoor,installed
Walker Park,outdoor,installed
Walker Park,indoor,installed
Silver Lake Park,outdoor,installed
Silver Lake Park,indoor,installed
Silver Lake Park,indoor,installed
Tompkinsville Park,outdoor,installed
Mahoney Playground,outdoor,installed
Willowbrook Park,outdoor,installed
Wolfe's Pond Park,outdoor,installed
Wolfe's Pond Park,indoor,installed
Liotti Ikefugi Playground,outdoor,installed
Midland Playground,outdoor,installed
Lyons Pool,outdoor,installed
Lyons Pool,outdoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Christopher J. Igneri Playground,outdoor,installed
Markham Playground,outdoor,installed
Greencroft Playground,outdoor,installed
Lieutenant John H. Martinson Playground,outdoor,installed
Prall Playground,outdoor,installed
CPL. Thompson Park,indoor,installed
