Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Activated,Misting Station,Newtown Barge Playground,,B135,B135,Brooklyn,B-01,995395.466542214,207417.260083973
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,1002274.65652397,224781.691562399
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,1002486.58326546,224686.983746558
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1031524.86934888,150386.391862481
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1031865.8466853,150522.134373143
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,1003188.49787214,224495.34666264
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1032232.7514633,150656.447752803
Activated,Misting Station,Sgt. William Dougherty Playground,,B096,B096,Brooklyn,B-01,1001687.04319788,202975.071133732
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1032462.0600598,150742.993839561
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1032895.04410196,150914.852419734
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1033216.37219947,151033.353495061
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1033485.90020371,151122.957318469
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1035310.46249946,151793.469428896
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1036272.09705913,152095.628273397
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1036587.76539105,152198.126099899
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1037156.38826955,152460.585220649
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1037527.00957556,152640.393916144
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1038021.31928247,152809.199680894
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1038272.4815098,152832.316432565
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1038516.18345022,152859.871495559
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1038852.84747505,152893.277596727
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1039215.73224796,152927.638420388
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,1039519.67881855,152932.779486224
Activated,Misting Station,Rockaway Beach Boardwalk,,Q162,Q162,Queens,Q-14,1046825.17470622,154877.511161059
Activated,Misting Station,Beach 17 Playground,,Q162J,Q162J,Queens,Q-14,1053653.09215271,155881.013091057
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,1004724.20871147,224812.242682397
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1027948.58647522,210229.945403471
Activated,Hydrant Spray Cap,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1028065.55540138,210035.245661646
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1028584.08093914,210580.933218553
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1029501.01250422,212691.746910303
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1027404.12398147,210945.478421226
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1007308.86036629,227792.611721649
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1025939.22894538,209606.386939317
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1025675.11989355,211151.388770565
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1007812.32622288,228119.337446138
Activated,Hydrant Spray Cap,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1025261.1709183,211182.36082147
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1007706.36383639,228331.365893483
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1006436.51204538,228639.965013816
Activated,CS Spray Adapter,Claremont Park,,X008,X008,Bronx,X-04,1010008.26408822,245876.645107314
Activated,CS Spray Adapter,Claremont Park,Claremont Park,X008,X008-01,Bronx,X-04,1009691.52817313,244482.333591476
Activated,Misting Station,John Hancock Playground,,B237,B237,Brooklyn,B-03,996698.680471226,187829.581083565
Broken,Misting Station,Betty Carter Park,,B592,B592,Brooklyn,B-02,990619.560083553,189620.93839322
Activated,Misting Station,Fulton Park,,B038,B038,Brooklyn,B-03,1002601.8323788,186896.352635055
Activated,Misting Station,Jackie Robinson Park Playground,,B294,B294,Brooklyn,B-03,1004402.19918489,187151.968265563
Activated,Misting Station,Thomas Boyland Park,,B381,B381,Brooklyn,B-04,1009938.46829605,187793.695656642
Activated,Misting Station,Murray Playground,,Q141,Q141,Queens,Q-02,998454.2501228,211575.825913816
Activated,Misting Station,Murray Playground,,Q141,Q141,Queens,Q-02,998423.850249216,211453.652929812
Activated,Misting Station,Murray Playground,,Q141,Q141,Queens,Q-02,998709.934978887,211533.037613555
Activated,Misting Station,Murray Playground,,Q141,Q141,Queens,Q-02,998672.871076643,211371.622253969
Activated,Misting Station,Queensbridge Park,,Q104,Q104,Queens,Q-01,998684.311342477,215129.144266471
Activated,Misting Station,Newtown Playground,,Q041,Q041,Queens,Q-04,1020386.88637556,207581.754833728
Activated,Misting Station,Maurice A FitzGerald Playground,,Q337,Q337,Queens,Q-09,1028831.9373988,190852.894918814
Activated,Misting Station,Detective Keith L Williams Park,K.l. Williams Playground (Tennis),Q121,Q121-02,Queens,Q-12,1043801.83790513,195882.624688729
Activated,Misting Station,Mapes Pool,,X236,X236,Bronx,X-06,1015601.26799406,247834.62511523
Activated,Misting Station,Monsignor Raul Del Valle Square,,X009,X009,Bronx,X-02,1014521.11562679,238306.744892805
Activated,Buckner Box Spray Adapter,Pulaski Park,,X041,X041,Bronx,X-01,1004950.36803606,232756.484339803
Activated,RPZ Spray Adapter,Pulaski Park,,X041,X041,Bronx,X-01,1005277.47433722,232629.412415474
Activated,Buckner Box Spray Adapter,People's Park,,X103,X103,Bronx,X-01,1007220.43829906,234154.669535562
Activated,CS Spray Adapter,Clark Playground,,X200,X200,Bronx,X-01,1006071.67550471,235841.371542722
Activated,Buckner Box Spray Adapter,Bathgate Playground,,X252,X252,Bronx,X-06,1013441.36089655,249734.078993469
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1006850.76023264,228325.820957064
Activated,Hydrant Spray Cap,Randall's Island Park,,M104,M104,Manhattan,M-11R,1005408.88293805,231203.474485662
Activated,Drinking Fountain Spray Adapter,Eae J Mitchell Park,,X267,X267,Bronx,X-03,1016299.58746355,244052.773755058
