Status,PropertyName,Spray shower,activated,broken,not yet activated,under construction
Activated,Central Park,17,activated,,,
Activated,Riverside Park,7,activated,,,
Activated,Flushing Meadows Corona Park,6,activated,,,
Activated,Forest Park,6,activated,,,
Activated,Baisley Pond Park,5,activated,,,
Activated,Bronx Park,5,activated,,,
Activated,Prospect Park,5,activated,,,
Activated,Rockaway Beach Boardwalk,5,activated,,,
Activated,Sara D. Roosevelt Park,5,activated,,,
Activated,Van Cortlandt Park,5,activated,,,
Activated,Williamsbridge Oval,5,activated,,,
Activated,Highbridge Park,4,activated,,,
Activated,Kissena Corridor Park,4,activated,,,
Activated,Marine Park,4,activated,,,
Activated,Morningside Park,4,activated,,,
Activated,Pelham Bay Park,4,activated,,,
Activated,Herbert Von King Park,3,activated,,,
Activated,Hunter's Point South Park,3,activated,,,
Activated,Inwood Hill Park,3,activated,,,
Activated,Alley Pond Park,2,activated,,,
Activated,Athens Square,2,activated,,,
Activated,Bronx River Parkway,2,activated,,,
Activated,Conch Playground,2,activated,,,
Activated,Cooper Park,2,activated,,,
Activated,Crotona Park,2,activated,,,
Activated,Cunningham Park,2,activated,,,
Activated,Dyker Beach Park,2,activated,,,
Activated,FDR Beach and Boardwalk,2,activated,,,
Activated,Fort Greene Park,2,activated,,,
Activated,Fort Tryon Park,2,activated,,,
Activated,Franklin D. Roosevelt Boardwalk and Beach,2,activated,,,
Activated,Grassmere Playground,2,activated,,,
Activated,Jackie Robinson Park,2,activated,,,
Activated,Juniper Valley Park,2,activated,,,
Activated,Kelly Park Playground,2,activated,,,
Activated,Kissena Park,2,activated,,,
Activated,Manhattan Beach Park,2,activated,,,
Activated,Marcus Garvey Park,2,activated,,,
Activated,Merriam Playground,2,activated,,,
Activated,Nautilus Playground,2,activated,,,
Activated,Owl's Head Park,2,activated,,,
Activated,Soundview Park,2,activated,,,
Activated,St. Nicholas Park,2,activated,,,
Activated,Tompkins Square Park,2,activated,,,
Activated,Tremont Park,2,activated,,,
Activated,Triborough Bridge Playground C,2,activated,,,
Activated,Veterans Grove,2,activated,,,
Activated,Washington Square Park,2,activated,,,
Activated,Washington's Walk,2,activated,,,
Activated,"""Uncle"" Vito F. Maranzano Glendale Playground",1,activated,,,
Activated,ABC Playground,1,activated,,,
Activated,Abigail Playground,1,activated,,,
Activated,Abraham Lincoln Playground,1,activated,,,
Activated,Admiral Playground,1,activated,,,
Activated,Aesop Park,1,activated,,,
Activated,Agnes Haywood Playground,1,activated,,,
Activated,Albemarle Playground,1,activated,,,
Activated,Albert J. Parham Playground,1,activated,,,
Activated,Alexander Hamilton Playground,1,activated,,,
Activated,Alfred E. Smith Playground,1,activated,,,
Activated,Alice Kornegay Triangle,1,activated,,,
Activated,Alley Park,1,activated,,,
Activated,American Playground,1,activated,,,
Activated,Ampere Playground,1,activated,,,
Activated,Andrews Grove,1,activated,,,
Activated,Anibal Aviles Playground,1,activated,,,
Activated,Annadale Playground,1,activated,,,
Activated,Aqueduct Walk,1,activated,,,
Activated,Arrochar Playground,1,activated,,,
Activated,Arverne Playground,1,activated,,,
Activated,Asser Levy Park,1,activated,,,
Activated,Asser Levy Playground,1,activated,,,
Activated,Astoria Health Playground,1,activated,,,
Activated,Astoria Heights Playground,1,activated,,,
Activated,Auburndale Playground,1,activated,,,
Activated,Audubon Playground,1,activated,,,
Activated,Augustus St. Gaudens Playground,1,activated,,,
Activated,Austin J. McDonald Playground,1,activated,,,
Activated,Bailey Playground,1,activated,,,
Activated,Bartlett Playground,1,activated,,,
Activated,Baruch Playground,1,activated,,,
Activated,Bath Beach Park,1,activated,,,
Activated,Bath Playground,1,activated,,,
Activated,Bay Terrace Playground,1,activated,,,
Activated,Bayside Playground,1,activated,,,
Activated,Bayswater Park,1,activated,,,
Activated,Bayview Playground,1,activated,,,
Activated,Beach 17 Playground,1,activated,,,
Activated,Beach 30th Street Playground,1,activated,,,
Activated,Beach 59th St Playground,1,activated,,,
Activated,Beach Channel Playground,1,activated,,,
Activated,Beanstalk Playground,1,activated,,,
Activated,Behagen Playground,1,activated,,,
Activated,Bellaire Playground,1,activated,,,
Activated,Bellevue South Park,1,activated,,,
Activated,Belmont Playground,1,activated,,,
Activated,Benninger Playground,1,activated,,,
Activated,Benson Playground,1,activated,,,
Activated,Bergen Beach Playground,1,activated,,,
Activated,Berry Playground,1,activated,,,
Activated,Big Bush Playground,1,activated,,,
Activated,Bill Brown Playground,1,activated,,,
Activated,Bleecker Playground,1,activated,,,
Activated,Bloomingdale Park,1,activated,,,
Activated,Bloomingdale Playground,1,activated,,,
Activated,Boerum Park,1,activated,,,
Activated,Bowne Park,1,activated,,,
Activated,Bowne Playground,1,activated,,,
Activated,Breininger Park,1,activated,,,
Activated,Breukelen Ballfields,1,activated,,,
Activated,Brighton Playground,1,activated,,,
Activated,Brizzi Playground,1,activated,,,
Activated,Brookville Park Playground,1,activated,,,
Activated,Brower Park,1,activated,,,
Activated,Bufano Park,1,activated,,,
Activated,Burns Playground,1,activated,,,
Activated,CPL. Thompson Park,1,activated,,,
Activated,Callahan-Kelly Playground,1,activated,,,
Activated,Calvert Vaux Park,1,activated,,,
Activated,Cambria Playground,1,activated,,,
Activated,Canarsie Park,1,activated,,,
Activated,Captain Rivera Playground,1,activated,,,
Activated,Carl Schurz Park,1,activated,,,
Activated,Carmansville Playground,1,activated,,,
Activated,Carroll Park,1,activated,,,
Activated,Carter G. Woodson Children's Park,1,activated,,,
Activated,Castle Hill Playground,1,activated,,,
Activated,Castlewood Playground,1,activated,,,
Activated,Cedar Grove Beach,1,activated,,,
Activated,Cedar Playground,1,activated,,,
Activated,Centreville Playground,1,activated,,,
Activated,Century Playground,1,activated,,,
Activated,Challenge Playground,1,activated,,,
Activated,Chelsea Park,1,activated,,,
Activated,Cherry Tree Park,1,activated,,,
Activated,Chester Playground,1,activated,,,
Activated,Christopher J. Igneri Playground,1,activated,,,
Activated,Ciccarone Park,1,activated,,,
Activated,Clark Playground,1,activated,,,
Activated,Classon Playground,1,activated,,,
Activated,Clement Clarke Moore Park,1,activated,,,
Activated,Cleopatra Playground,1,activated,,,
Activated,Clintonville Playground,1,activated,,,
Activated,Clove Lakes Park,1,activated,,,
Activated,Coffey Park,1,activated,,,
Activated,Col. Young Playground,1,activated,,,
Activated,Colden Playground,1,activated,,,
Activated,Coleman Playground,1,activated,,,
Activated,Colgate Close,1,activated,,,
Activated,Colonel David Marcus Playground,1,activated,,,
Activated,Colucci Playground,1,activated,,,
Activated,Columbus Park,1,activated,,,
Activated,Commodore Barry Park,1,activated,,,
Activated,Coney Island Beach & Boardwalk,1,activated,,,
Activated,Corlears Hook Park,1,activated,,,
Activated,Corona Golf Playground,1,activated,,,
Activated,Corporal John A. Seravalli Playground,1,activated,,,
Activated,Courtney Callender Playground,1,activated,,,
Activated,Crispus Attucks Playground,1,activated,,,
Activated,Crocheron Park,1,activated,,,
Activated,Crowley Playground,1,activated,,,
Activated,Curtis Playground,1,activated,,,
Activated,Cuyler Gore Park,1,activated,,,
Activated,Cypress Hills Playground,1,activated,,,
Activated,D'Emic Playground,1,activated,,,
Activated,Daniel Boone Playground,1,activated,,,
Activated,Daniel M. O'Connell Playground,1,activated,,,
Activated,Dawson Playground,1,activated,,,
Activated,De Hostos Playground,1,activated,,,
Activated,De Matti Park,1,activated,,,
Activated,De Witt Clinton Park,1,activated,,,
Activated,DeSalvio Playground,1,activated,,,
Activated,Dean Playground,1,activated,,,
Activated,Delphin H. Greene Playground,1,activated,,,
Activated,Detective Keith L Williams Park,1,activated,,,
Activated,Detective William T. Gunn Playground,1,activated,,,
Activated,Devoe Park,1,activated,,,
Activated,DiGilio Playground,1,activated,,,
Activated,Dimattina Playground,1,activated,,,
Activated,Ditmars Playground,1,activated,,,
Activated,Dodger Playground,1,activated,,,
Activated,Dome Playground,1,activated,,,
Activated,Dongan Playground,1,activated,,,
Activated,Downing Street Playground,1,activated,,,
Activated,Dr. Gertrude B. Kelly Playground,1,activated,,,
Activated,Dr. Green Playground,1,activated,,,
Activated,Dry Dock Playground,1,activated,,,
Activated,Dutch Kills Playground,1,activated,,,
Activated,East Elmhurst Playground,1,activated,,,
Activated,East River Playground,1,activated,,,
Activated,East Springfield Playground,1,activated,,,
Activated,Eastchester Playground,1,activated,,,
Activated,Edenwald Playground,1,activated,,,
Activated,Edmonds Playground,1,activated,,,
Activated,Ehrenreich-Austin Playground,1,activated,,,
Activated,El Shabazz Playground,1,activated,,,
Activated,Electric Playground,1,activated,,,
Activated,Elizabeth Stroud Playground,1,activated,,,
Activated,Elmhurst Park,1,activated,,,
Activated,Elton Playground,1,activated,,,
Activated,Emerald Playground,1,activated,,,
Activated,Epiphany Playground,1,activated,,,
Activated,Equity Playground,1,activated,,,
Activated,Ethan Allen Playground,1,activated,,,
Activated,Evergreen Park,1,activated,,,
Activated,Farm Playground,1,activated,,,
Activated,Fermi Playground,1,activated,,,
Activated,First Park,1,activated,,,
Activated,Flushing Fields,1,activated,,,
Activated,Flynn Playground,1,activated,,,
Activated,Fort Independence Playground,1,activated,,,
Activated,Fort Washington Park,1,activated,,,
Activated,Fountain Of Youth Playground,1,activated,,,
Activated,Fox Playground,1,activated,,,
Activated,Francis Lewis Park,1,activated,,,
Activated,Francis Lewis Playground,1,activated,,,
Activated,Frank D. O'Connor Playground,1,activated,,,
Activated,Frank Principe Park,1,activated,,,
Activated,Fred Samuel Playground,1,activated,,,
Activated,Frederick B. Judge Playground,1,activated,,,
Activated,Frederick Douglass Playground,1,activated,,,
Activated,Frederick Johnson Playground,1,activated,,,
Activated,Freedom Square Playground,1,activated,,,
Activated,Frontera Park,1,activated,,,
Activated,Galapo Playground,1,activated,,,
Activated,Galileo Playground,1,activated,,,
Activated,Garden Playground,1,activated,,,
Activated,Garibaldi Playground,1,activated,,,
Activated,Gen. Douglas MacArthur Park,1,activated,,,
Activated,Gene Gray Playground,1,activated,,,
Activated,George Walker Jr. Park,1,activated,,,
Activated,Gerard P. Dugan Playground,1,activated,,,
Activated,Gertrude Ederle Recreation Center,1,activated,,,
Activated,Gilbert Ramirez Park,1,activated,,,
Activated,Givan Square,1,activated,,,
Activated,Goble Playground,1,activated,,,
Activated,Golconda Playground,1,activated,,,
Activated,Gonzalo Plasencia Playground,1,activated,,,
Activated,Gorman Playground,1,activated,,,
Activated,Gouverneur Playground,1,activated,,,
Activated,Grace Playground,1,activated,,,
Activated,Grady Playground,1,activated,,,
Activated,Great Kills Veterans Playground,1,activated,,,
Activated,Green Central Knoll,1,activated,,,
Activated,Greene Playground,1,activated,,,
Activated,Greenpoint Playground,1,activated,,,
Activated,Greenwood Playground,1,activated,,,
Activated,Grove Hill Playground,1,activated,,,
Activated,Grover Cleveland Playground,1,activated,,,
Activated,Haffen Park,1,activated,,,
Activated,Haggerty Park,1,activated,,,
Activated,Hamilton Fish Park,1,activated,,,
Activated,Hammel Playground,1,activated,,,
Activated,Happy Warrior Playground,1,activated,,,
Activated,Harding Park,1,activated,,,
Activated,Harlem Lane Playground,1,activated,,,
Activated,Harold Schneiderman Playground,1,activated,,,
Activated,Harry Chapin Playground,1,activated,,,
Activated,Harry Maze Playground,1,activated,,,
Activated,Hart Playground,1,activated,,,
Activated,Harvard Playground,1,activated,,,
Activated,Harvey Park,1,activated,,,
Activated,Hattie Carthan Playground,1,activated,,,
Activated,Havemeyer Playground,1,activated,,,
Activated,Heckscher Playground,1,activated,,,
Activated,Henry Hudson Park,1,activated,,,
Activated,Herman Dolgon Playground,1,activated,,,
Activated,Hickman Playground,1,activated,,,
Activated,Highland Park,1,activated,,,
